data;Interwencja;Interwencja II;Interwencja MO;" Aktywa zagraniczne netto

";OpenMarketOps;premium
2000I;0.096206584;0.036523028;0.141372674;0.345165479;16.5;
2000I;0.109903324;0.050937162;0.128015756;0.340632361;17.5;
2000I;0.110356669;0.051772778;0.138355434;0.337293162;17.5;-6.962
2000I;0.105558199;0.047660163;0.150249468;0.347306898;17.5;-6.002
2000I;0.110943798;0.053915701;0.142074278;0.339883511;17.5;-5.005
2000I;0.117839361;0.062792797;0.148067;0.332916205;17.5;-4.715
2000I;0.11625296;0.060684098;0.15625393;0.337678871;17.5;-4.814
2000I;0.111405112;0.056503522;0.145446652;0.333552411;19;-6.49
2000I;0.101047572;0.048485204;0.143406977;0.333795102;19;-6.124
2000I;0.101722715;0.051014255;0.140238894;0.351637957;19;-5.712
2000I;0.10269103;0.052825054;0.128140917;0.3406268;19;-6.681
2000I;0.106557333;0.059661464;0.136597741;0.339494139;19;-7.824
2001I;0.119055864;0.074156773;0.140801216;0.332958122;19;-8.46
2001I;0.125189763;0.084906941;0.115831936;0.340771087;19;-8.644
2001I;0.118006568;0.07966761;0.134969526;0.333230853;17;-6.186
2001I;0.112341413;0.077307266;0.13944408;0.315058871;17;-5.982
2001I;0.117046217;0.08278693;0.131140354;0.309824573;17;-5.524
2001I;0.122609834;0.089404092;0.131300302;0.308299861;15.5;-3.758
2001I;0.119136038;0.086951692;0.131876371;0.322945686;15.5;-3.777
2001I;0.114112731;0.08316615;0.138373738;0.327539501;14.5;-2.733
2001I;0.10327302;0.073596525;0.125207653;0.31871562;14.5;-3.262
2001I;0.099904489;0.072540907;0.127303289;0.312656696;13;-3.171
2001I;0.094229507;0.044293294;0.143128992;0.273212395;11.5;-2.539
2001I;0.106063956;0.057000332;0.158452812;0.28;11.5;-2.73
2002I;0.095860262;0.048780259;0.133209413;0.28;10;-1.712
2002I;0.102409986;0.056869818;0.160442173;0.29;10;-1.634
2002I;0.088708854;0.044060991;0.154001219;0.29;10;-1.581
2002I;0.090125899;0.052954747;0.147627777;0.29;9.5;-1.368
2002I;0.087050788;0.051354849;0.134204812;0.29;9;-1.107
2002I;0.077114458;0.042599251;0.162665938;0.29;8.5;-1.166
2002I;0.07594465;0.048576485;0.147211238;0.31;8.5;-0.963
2002I;0.075907411;0.049814053;0.146663025;0.31;8;-0.842
2002I;0.067148015;0.043003845;0.147014126;0.31;7.5;-1.051
2002I;0.071450484;0.052160284;0.152364114;0.30;7;-0.985
2002I;0.067553952;0.05024643;0.14576333;0.29;6.75;-0.73
2002I;0.082880359;0.065894578;0.160191817;0.30;6.75;-1.187
2003I;0.066776264;0.051633515;0.148748939;0.29;6.5;-0.766
2003I;0.074405663;0.064380524;0.149847953;0.32;6.5;-0.947
2003I;0.060259079;0.050918868;0.152986945;0.31;6;-0.522
2003I;0.053634305;0.046270874;0.159985903;0.30;5.75;-0.451
2003I;0.052911473;0.046011319;0.155860109;0.30;5.5;-0.441
2003I;0.054189153;0.046950065;0.161540212;0.30;5.25;-0.153
2003I;0.059291683;0.054221092;0.168013234;0.30;5.25;0.419
2003I;0.065473481;0.060778213;0.149836883;0.30;5.25;0.404
2003I;0.065173637;0.060507461;0.162199861;0.31;5.25;0.864
2003I;0.05184326;0.050846256;0.162980211;0.31;5.25;1.903
2003I;0.041396037;0.040416551;0.149628529;0.31;5.25;2.144
2003I;0.061022527;0.06008545;0.161919635;0.31;5.25;1.348
2004I;0.052091095;0.051136749;0.14166362;0.33;5.25;1.607
2004I;0.053434234;0.052467377;0.153937376;0.34;5.25;1.553
2004I;0.039687697;0.038729016;0.152181772;0.32;5.25;1.415
2004I;0.032468595;0.032468595;0.154255694;0.33;5.25;2.024
2004I;0.042452399;0.042452399;0.161339383;0.31;5.25;2.142
2004I;0.05284485;0.05284485;0.152934526;0.31;5.25;1.997
2004I;0.05367697;0.05367697;0.152414929;0.30;5.75;1.747
2004I;0.058611327;0.058611327;0.169707278;0.31;6;1.316
2004I;0.051112739;0.051112739;0.148843667;0.29;6.5;0.269
2004I;0.045813837;0.045813837;0.145277444;0.26;6.5;0.324
2004I;0.034088168;0.034088168;0.149491824;0.25;6.5;-0.101
2004I;0.060256913;0.060256913;0.162470086;0.25;6.5;-0.694
2005I;0.058580732;0.058580732;0.15444463;0.28;6.5;-0.524
2005I;0.069898347;0.069898347;0.152658118;0.27;6.5;-1.013
2005I;0.065712914;0.065712914;0.152434689;0.26;6.5;-1.019
2005I;0.063779183;0.063779183;0.153073157;0.29;6;-0.432
2005I;0.069676754;0.069676754;0.157119633;0.29;5.5;-0.375
2005I;0.07378492;0.07378492;0.153383562;0.31;5.5;-0.817
2005I;0.074347697;0.074347697;0.153886902;0.31;5;-0.09
2005I;0.08028557;0.08028557;0.161182977;0.31;5;-0.259
2005I;0.079222158;0.079222158;0.15189796;0.29;5;-0.353
2005I;0.08050306;0.08050306;0.152255127;0.29;4.5;0.793
2005I;0.080183613;0.080183613;0.156556319;0.29;4.5;0.852
2005I;0.0793941;0.0793941;0.145999927;0.29;4.5;0.607
2006I;0.066159772;0.066159772;0.150294437;0.28;4.5;0.514
2006I;0.081779908;0.081779908;0.148978182;0.30;4.5;0.079
2006I;0.07637114;0.07637114;0.150816629;0.30;4.25;0.854
2006I;0.071047762;0.071047762;0.158636519;0.29;4;1.281
2006I;0.076264521;0.076264521;0.152436173;0.29;4;1.321
2006I;0.070314128;0.070314128;0.157461482;0.29;4;1.688
2006I;0.072966576;0.072966576;0.156105722;0.29;4;1.556
2006I;0.075124631;0.075124443;0.159431471;0.29;4;1.602
2006I;0.075116717;0.075116717;0.146589408;0.29;4;1.528
2006I;0.067306775;0.067306775;0.149592475;0.27;4;1.184
2006I;0.073088308;0.073088308;0.154785088;0.25;4;1.16
2006I;0.061879176;0.061879176;0.151953264;0.26;4;1.197
2007I;0.070945768;0.070945768;0.152372373;0.28;4;1.174
2007I;0.06907919;0.06907919;0.149298231;0.27;4;1.247
2007I;0.070726532;0.070726532;0.147150687;0.26;4;1.176
