Data;WIBOR1M;WIBOR3M;WIBOR6M;WIBOR1Y;OpenMarketOps;Int
2001-01-31;19.39;18.87;18.29;17.79;19;0.119055864
2001-02-28;19.02;18.29;17.82;17.41;19;0.125189763
2001-03-30;17.41;17.37;16.86;16.51;17;0.118006568
2001-04-30;17.45;17.15;16.55;16.16;17;0.112341413
2001-05-31;17.5;17.16;16.53;16.03;17;0.117046217
2001-06-29;16.05;16.09;15.74;15.5;15.5;0.122609834
2001-07-31;15.76;15.49;15.23;15.03;15.5;0.119136038
2001-08-31;15.29;15.18;14.7;14.46;14.5;0.114112731
2001-09-28;15.03;14.56;13.93;13.65;14.5;0.10327302
2001-10-31;14.33;13.84;12.98;12.2;13;0.099904489
2001-11-30;12.47;12.45;12;11.2;11.5;0.094229507
2001-12-31;12.08;11.91;11.32;10.65;11.5;0.106063956
2002-01-31;11.44;10.64;10.36;9.91;10;0.095860262
2002-02-28;10.39;10.22;10.11;9.87;10;0.102409986
2002-03-29;10.58;10.34;10.27;10.02;10;0.088708854
2002-04-30;10.2;10.1;9.94;9.77;9.5;0.090125899
2002-05-31;9.74;9.6;9.6;9.44;9;0.087050788
2002-06-28;9.26;8.97;8.74;8.52;8.5;0.077114458
2002-07-31;8.88;8.69;8.52;8.28;8.5;0.07594465
2002-08-30;8.43;8.33;8.2;7.93;8;0.075907411
2002-09-30;7.83;7.73;7.52;7.3;7.5;0.067148015
2002-10-31;7.18;7.02;6.8;6.6;7;0.071450484
2002-11-29;6.97;6.76;6.52;6.25;6.75;0.067553952
2002-12-31;6.98;6.87;6.6;6.17;6.75;0.082880359
2003-01-31;6.64;6.47;6.24;6.03;6.5;0.066776264
2003-02-28;6.36;6.27;6.08;5.85;6.5;0.074405663
2003-03-31;6.15;5.98;5.81;5.66;6;0.060259079
2003-04-30;5.83;5.69;5.55;5.36;5.75;0.053634305
2003-05-30;5.6;5.4;5.19;4.96;5.5;0.052911473
2003-06-30;5.32;5.32;5.15;5.03;5.25;0.054189153
2003-07-31;5.32;5.24;5.14;5.01;5.25;0.059291683
2003-08-29;5.31;5.14;5.06;4.99;5.25;0.065473481
2003-09-30;5.25;5.24;5.2;5.15;5.25;0.065173637
2003-10-31;5.59;5.86;5.95;6.1;5.25;0.05184326
2003-11-28;5.54;5.83;6.02;6.28;5.25;0.041396037
2003-12-31;5.41;5.6;5.69;5.78;5.25;0.061022527
2004-01-30;5.39;5.46;5.56;5.73;5.25;0.052091095
2004-02-27;5.38;5.5;5.63;5.86;5.25;0.053434234
2004-03-31;5.39;5.49;5.64;5.87;5.25;0.039687697
2004-04-30;5.69;5.85;6.06;6.54;5.25;0.032468595
2004-05-31;5.7;6;6.34;6.84;5.25;0.042452399
2004-06-30;5.75;6.05;6.41;6.91;5.25;0.05284485
2004-07-30;6.15;6.41;6.73;7.27;5.75;0.05367697
2004-08-31;6.66;7;7.25;7.53;6;0.058611327
2004-09-30;6.7;6.91;7.01;7.17;6.5;0.051112739
2004-10-29;6.66;6.84;6.92;7.05;6.5;0.045813837
2004-11-30;6.71;6.77;6.84;6.91;6.5;0.034088168
2004-12-31;6.66;6.64;6.61;6.57;6.5;0.060256913
2005-01-31;6.61;6.61;6.6;6.51;6.5;0.058580732
2005-02-28;6.45;6.31;6.18;5.86;6.5;0.069898347
2005-03-31;6.14;5.91;5.78;5.58;6.5;0.065712914
2005-04-29;5.6;5.59;5.51;5.41;6;0.063779183
2005-05-31;5.54;5.44;5.37;5.3;5.5;0.069676754
2005-06-30;5.08;4.9;4.74;4.6;5.5;0.07378492
2005-07-29;4.79;4.67;4.6;4.55;5;0.074347697
2005-08-31;4.68;4.61;4.57;4.55;5;0.08028557
2005-09-30;4.6;4.5;4.41;4.36;5;0.079222158
2005-10-31;4.62;4.62;4.64;4.66;4.5;0.08050306
2005-11-30;4.6;4.63;4.69;4.79;4.5;0.080183613
2005-12-30;4.6;4.6;4.6;4.6;4.5;0.0793941
2006-01-31;4.4;4.4;4.37;4.37;4.5;0.066159772
2006-02-28;4.22;4.16;4.11;4.1;4.5;0.081779908
2006-03-31;4.15;4.17;4.16;4.17;4.25;0.07637114
2006-04-28;4.12;4.13;4.17;4.2;4;0.071047762
2006-05-31;4.11;4.15;4.22;4.28;4;0.076264521
2006-06-30;4.12;4.21;4.4;4.71;4;0.070314128
2006-07-31;4.12;4.18;4.25;4.55;4;0.072966576
2006-08-31;4.12;4.19;4.3;4.6;4;0.075124631
2006-09-29;4.13;4.22;4.43;4.74;4;0.075116717
2006-10-31;4.13;4.21;4.36;4.61;4;0.067306775
2006-11-30;4.13;4.2;4.33;4.53;4;0.073088308
2006-12-29;4.12;4.2;4.3;4.51;4;0.061879176
2007-01-31;4.13;4.19;4.26;4.44;4;0.070945768
2007-02-28;4.12;4.22;4.35;4.57;4;0.06907919
2007-03-30;4.15;4.24;4.42;4.63;4;0.070726532
2007-04-30;4.39;4.4;4.56;4.75;4;0.06824169
2007-05-31;4.4;4.44;4.62;4.82;4.25;0.070954927
2007-06-29;4.64;4.71;4.84;5.14;4.25;0.068190317
2007-07-31;4.69;4.81;4.96;5.26;4.5;0.068912018
2007-08-31;4.91;5.03;5.19;5.47;4.5;0.066435997
2007-09-28;4.95;5.1;5.25;5.45;4.75;0.063521978
2007-10-31;5.02;5.21;5.38;5.56;4.75;0.063082439
2007-11-30;5.48;5.56;5.84;6.03;4.75;0.06087519
2007-12-31;5.57;5.7;6;6.2;5;0.043546651
2008-01-31;5.44;5.65;5.84;6.01;5;0.056586155
2008-02-29;5.72;5.94;6.19;6.37;5.25;0.052924847
2008-03-31;6;6.15;6.41;6.6;5.5;0.048351365
2008-04-30;6.17;6.34;6.5;6.64;5.75;0.047718807
2008-05-30;6.21;6.48;6.62;6.7;5.75;0.045849612
2008-06-30;6.29;6.65;6.81;6.91;5.75;0.0482497
2008-07-31;6.24;6.56;6.65;6.81;6;0.047870131
2008-08-29;6.25;6.5;6.59;6.65;6;0.047738441
2008-09-30;6.42;6.63;6.66;6.69;6;0.049582712
